,room_type, bathrooms_text ,bedrooms,price
63,Entire home/apt, 2 baths ,3,1014
64,Entire home/apt, 1 bath ,2,464
65,Private room, 1 bath ,1,180
66,Entire home/apt, 1 bath ,2,2000
67,Private room, 1 bath ,1,180
68,Private room, 1 shared bath ,1,180
69,Private room, 2 baths ,2,500
70,Private room, 1.5 shared baths ,1,280
71,Entire home/apt, 1 bath ,2,857
72,Entire home/apt, 1.5 baths ,1,3046
73,Private room, 1 bath ,1,700
74,Private room, 1 bath ,1,1210
75,Private room, 1 bath ,1,968
76,Private room, 1 bath ,1,180
77,Private room, 1 bath ,1,1323
78,Private room, 1 shared bath ,1,180
79,Private room, 1 bath ,1,180
80,Private room, 1 bath ,1,180
81,Private room, 1 bath ,1,180
82,Private room, 1 private bath ,1,480
83,Private room, 1 bath ,1,130
84,Private room, 1 shared bath ,1,180
85,Private room, 1 bath ,1,180
86,Private room, 1 bath ,1,180
87,Private room, 1 private bath ,1,350
88,Private room, 1 private bath ,1,600
89,Entire home/apt, 1 bath ,2,799
90,Entire home/apt, 1 bath ,1,531
91,Private room, 1 bath ,1,238
92,Private room, 1.5 baths ,1,300
93,Private room, 1 private bath ,1,600
94,Private room, 1 private bath ,1,238
95,Private room, 1 private bath ,1,261
96,Private room, 1 bath ,1,240
97,Private room, 1 bath ,1,299
98,Entire home/apt, 1.5 baths ,1,3000
99,Private room, 1 bath ,1,240
100,Private room, 1 bath ,1,259
101,Private room, 1 bath ,1,238
102,Private room, 1 bath ,1,285
